"LOCATION","Country","MEASURE","Measure","AGE","Age group","DEFINITION","Definition","METHODO","Methodology","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"MEX","Mexico","GINI","Gini (disposable income, post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","0_TO_1","0-1 scale","0","Units",,,0.458,,
"MEX","Mexico","GINI","Gini (disposable income, post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2004","2004","0_TO_1","0-1 scale","0","Units",,,0.474,,
"MEX","Mexico","GINI","Gini (disposable income, post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2005","2005","0_TO_1","0-1 scale","0","Units",,,0.486,,
"MEX","Mexico","GINI","Gini (disposable income, post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2006","2006","0_TO_1","0-1 scale","0","Units",,,0.471,,
"MEX","Mexico","GINI","Gini (disposable income, post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2008","2008","0_TO_1","0-1 scale","0","Units",,,0.475,,
"MEX","Mexico","GINI","Gini (disposable income, post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2010","2010","0_TO_1","0-1 scale","0","Units",,,0.466,,
"MEX","Mexico","GINI","Gini (disposable income, post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2012","2012","0_TO_1","0-1 scale","0","Units",,,0.482,,
"MEX","Mexico","STDG","Standard error Gini (post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2012","2012","SE","Standard-error","0","Units",,,0.006,,
"MEX","Mexico","STDG","Standard error Gini (post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2014","2014","SE","Standard-error","0","Units",,,0.008,,
"MEX","Mexico","STDG","Standard error Gini (post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","SE","Standard-error","0","Units",,,0.015,,
"MEX","Mexico","STDG","Standard error Gini (post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2004","2004","SE","Standard-error","0","Units",,,0.009,,
"MEX","Mexico","STDG","Standard error Gini (post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2008","2008","SE","Standard-error","0","Units",,,0.006,,
"MEX","Mexico","STDG","Standard error Gini (post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2010","2010","SE","Standard-error","0","Units",,,0.004,,
"MEX","Mexico","STDG","Standard error Gini (post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2012","2012","SE","Standard-error","0","Units",,,0.007,,
"MEX","Mexico","GINIB","Gini (market income, before taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2012","2012","0_TO_1","0-1 scale","0","Units",,,0.473,"i","post taxes and before transfers"
"MEX","Mexico","GINIB","Gini (market income, before taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2014","2014","0_TO_1","0-1 scale","0","Units",,,0.478,"i","post taxes and before transfers"
"MEX","Mexico","GINIB","Gini (market income, before taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","0_TO_1","0-1 scale","0","Units",,,0.473,"i","post taxes and before transfers"
"MEX","Mexico","PALMA","Palma ratio","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2012","2012","RATIO","Ratio","0","Units",,,2.54,,
"MEX","Mexico","PALMA","Palma ratio","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2014","2014","RATIO","Ratio","0","Units",,,2.54,,
"MEX","Mexico","PALMA","Palma ratio","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","RATIO","Ratio","0","Units",,,2.51,,
"MEX","Mexico","PALMA","Palma ratio","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2004","2004","RATIO","Ratio","0","Units",,,2.75,,
"MEX","Mexico","PALMA","Palma ratio","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2008","2008","RATIO","Ratio","0","Units",,,2.8,,
"MEX","Mexico","PALMA","Palma ratio","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2010","2010","RATIO","Ratio","0","Units",,,2.66,,
"MEX","Mexico","PALMA","Palma ratio","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2012","2012","RATIO","Ratio","0","Units",,,2.93,,
"MEX","Mexico","P90P10","P90/P10 disposable income decile ratio","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2012","2012","P90P10","Interdecile ratio P90/P10","0","Units",,,8.1,,
"MEX","Mexico","P90P10","P90/P10 disposable income decile ratio","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2014","2014","P90P10","Interdecile ratio P90/P10","0","Units",,,7.2,,
"MEX","Mexico","P90P10","P90/P10 disposable income decile ratio","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","P90P10","Interdecile ratio P90/P10","0","Units",,,6.7,,
"MEX","Mexico","P90P10","P90/P10 disposable income decile ratio","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2004","2004","P90P10","Interdecile ratio P90/P10","0","Units",,,8.5,,
"MEX","Mexico","P90P10","P90/P10 disposable income decile ratio","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2008","2008","P90P10","Interdecile ratio P90/P10","0","Units",,,9.6,,
"MEX","Mexico","P90P10","P90/P10 disposable income decile ratio","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2010","2010","P90P10","Interdecile ratio P90/P10","0","Units",,,9.5,,
"MEX","Mexico","P90P10","P90/P10 disposable income decile ratio","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2012","2012","P90P10","Interdecile ratio P90/P10","0","Units",,,10,,
"MEX","Mexico","P90P50","P90/P50  disposable income decile ratio","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2012","2012","P90P50","Interdecile ratio P90/P50","0","Units",,,2.8,,
"MEX","Mexico","P90P50","P90/P50  disposable income decile ratio","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2014","2014","P90P50","Interdecile ratio P90/P50","0","Units",,,2.8,,
"MEX","Mexico","P90P50","P90/P50  disposable income decile ratio","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","P90P50","Interdecile ratio P90/P50","0","Units",,,2.7,,
"MEX","Mexico","P90P50","P90/P50  disposable income decile ratio","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2004","2004","P90P50","Interdecile ratio P90/P50","0","Units",,,3,,
"MEX","Mexico","P90P50","P90/P50  disposable income decile ratio","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2008","2008","P90P50","Interdecile ratio P90/P50","0","Units",,,3,,
"MEX","Mexico","P90P50","P90/P50  disposable income decile ratio","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2010","2010","P90P50","Interdecile ratio P90/P50","0","Units",,,2.9,,
"MEX","Mexico","P90P50","P90/P50  disposable income decile ratio","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2012","2012","P90P50","Interdecile ratio P90/P50","0","Units",,,3,,
"MEX","Mexico","P50P10","P50/P10  disposable income decile ratio","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2012","2012","P50P10","Interdecile ratio P50/P10","0","Units",,,2.9,,
"MEX","Mexico","P50P10","P50/P10  disposable income decile ratio","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2014","2014","P50P10","Interdecile ratio P50/P10","0","Units",,,2.6,,
"MEX","Mexico","P50P10","P50/P10  disposable income decile ratio","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","P50P10","Interdecile ratio P50/P10","0","Units",,,2.5,,
"MEX","Mexico","P50P10","P50/P10  disposable income decile ratio","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2004","2004","P50P10","Interdecile ratio P50/P10","0","Units",,,2.9,,
"MEX","Mexico","P50P10","P50/P10  disposable income decile ratio","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2008","2008","P50P10","Interdecile ratio P50/P10","0","Units",,,3.2,,
"MEX","Mexico","P50P10","P50/P10  disposable income decile ratio","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2010","2010","P50P10","Interdecile ratio P50/P10","0","Units",,,3.2,,
"MEX","Mexico","P50P10","P50/P10  disposable income decile ratio","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2012","2012","P50P10","Interdecile ratio P50/P10","0","Units",,,3.3,,
"MEX","Mexico","S80S20","S80/S20 disposable income quintile share","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2012","2012","RATIO","Ratio","0","Units",,,11.5,,
"MEX","Mexico","S80S20","S80/S20 disposable income quintile share","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2014","2014","RATIO","Ratio","0","Units",,,10.4,,
"MEX","Mexico","S80S20","S80/S20 disposable income quintile share","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","RATIO","Ratio","0","Units",,,10.3,,
"MEX","Mexico","S80S20","S80/S20 disposable income quintile share","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2004","2004","RATIO","Ratio","0","Units",,,12.1,,
"MEX","Mexico","S80S20","S80/S20 disposable income quintile share","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2008","2008","RATIO","Ratio","0","Units",,,12.9,,
"MEX","Mexico","S80S20","S80/S20 disposable income quintile share","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2010","2010","RATIO","Ratio","0","Units",,,12.7,,
"MEX","Mexico","S80S20","S80/S20 disposable income quintile share","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2012","2012","RATIO","Ratio","0","Units",,,13.7,,
"NLD","Netherlands","GINI","Gini (disposable income, post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2011","2011","0_TO_1","0-1 scale","0","Units",,,0.289,,
"NLD","Netherlands","GINI","Gini (disposable income, post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2012","2012","0_TO_1","0-1 scale","0","Units",,,0.288,,
"NLD","Netherlands","GINI","Gini (disposable income, post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.287,,
"NLD","Netherlands","GINI","Gini (disposable income, post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2014","2014","0_TO_1","0-1 scale","0","Units",,,0.303,,
"NLD","Netherlands","GINI","Gini (disposable income, post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2015","2015","0_TO_1","0-1 scale","0","Units",,,0.288,,
"NLD","Netherlands","GINI","Gini (disposable income, post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","0_TO_1","0-1 scale","0","Units",,,0.285,"P","Provisional value"
"NLD","Netherlands","GINI","Gini (disposable income, post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2005","2005","0_TO_1","0-1 scale","0","Units",,,0.284,,
"NLD","Netherlands","GINI","Gini (disposable income, post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2006","2006","0_TO_1","0-1 scale","0","Units",,,0.28,,
"NLD","Netherlands","GINI","Gini (disposable income, post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2007","2007","0_TO_1","0-1 scale","0","Units",,,0.295,,
"NLD","Netherlands","GINI","Gini (disposable income, post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2008","2008","0_TO_1","0-1 scale","0","Units",,,0.286,,
"NLD","Netherlands","GINI","Gini (disposable income, post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2009","2009","0_TO_1","0-1 scale","0","Units",,,0.283,,
"NLD","Netherlands","GINI","Gini (disposable income, post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2010","2010","0_TO_1","0-1 scale","0","Units",,,0.283,,
"NLD","Netherlands","GINI","Gini (disposable income, post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2012","2012","0_TO_1","0-1 scale","0","Units",,,0.278,,
"NLD","Netherlands","STDG","Standard error Gini (post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2005","2005","SE","Standard-error","0","Units",,,0.001,,
"NLD","Netherlands","STDG","Standard error Gini (post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2006","2006","SE","Standard-error","0","Units",,,0.001,,
"NLD","Netherlands","STDG","Standard error Gini (post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2007","2007","SE","Standard-error","0","Units",,,0.001,,
"NLD","Netherlands","STDG","Standard error Gini (post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2008","2008","SE","Standard-error","0","Units",,,0.001,,
"NLD","Netherlands","STDG","Standard error Gini (post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2009","2009","SE","Standard-error","0","Units",,,0.001,,
"NLD","Netherlands","STDG","Standard error Gini (post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2010","2010","SE","Standard-error","0","Units",,,0.001,,
"NLD","Netherlands","STDG","Standard error Gini (post taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2012","2012","SE","Standard-error","0","Units",,,0.001,,
"NLD","Netherlands","GINIB","Gini (market income, before taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2011","2011","0_TO_1","0-1 scale","0","Units",,,0.43,,
"NLD","Netherlands","GINIB","Gini (market income, before taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2012","2012","0_TO_1","0-1 scale","0","Units",,,0.433,,
"NLD","Netherlands","GINIB","Gini (market income, before taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2013","2013","0_TO_1","0-1 scale","0","Units",,,0.439,,
"NLD","Netherlands","GINIB","Gini (market income, before taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2014","2014","0_TO_1","0-1 scale","0","Units",,,0.458,,
"NLD","Netherlands","GINIB","Gini (market income, before taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2015","2015","0_TO_1","0-1 scale","0","Units",,,0.446,,
"NLD","Netherlands","GINIB","Gini (market income, before taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","0_TO_1","0-1 scale","0","Units",,,0.445,"P","Provisional value"
"NLD","Netherlands","GINIB","Gini (market income, before taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2005","2005","0_TO_1","0-1 scale","0","Units",,,0.426,,
"NLD","Netherlands","GINIB","Gini (market income, before taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2006","2006","0_TO_1","0-1 scale","0","Units",,,0.424,,
"NLD","Netherlands","GINIB","Gini (market income, before taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2007","2007","0_TO_1","0-1 scale","0","Units",,,0.43,,
"NLD","Netherlands","GINIB","Gini (market income, before taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2008","2008","0_TO_1","0-1 scale","0","Units",,,0.417,,
"NLD","Netherlands","GINIB","Gini (market income, before taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2009","2009","0_TO_1","0-1 scale","0","Units",,,0.417,,
"NLD","Netherlands","GINIB","Gini (market income, before taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2010","2010","0_TO_1","0-1 scale","0","Units",,,0.421,,
"NLD","Netherlands","GINIB","Gini (market income, before taxes and transfers)","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2012","2012","0_TO_1","0-1 scale","0","Units",,,0.424,,
"NLD","Netherlands","PALMA","Palma ratio","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2011","2011","RATIO","Ratio","0","Units",,,1.06,,
"NLD","Netherlands","PALMA","Palma ratio","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2012","2012","RATIO","Ratio","0","Units",,,1.05,,
"NLD","Netherlands","PALMA","Palma ratio","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2013","2013","RATIO","Ratio","0","Units",,,1.04,,
"NLD","Netherlands","PALMA","Palma ratio","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2014","2014","RATIO","Ratio","0","Units",,,1.14,,
"NLD","Netherlands","PALMA","Palma ratio","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2015","2015","RATIO","Ratio","0","Units",,,1.04,,
"NLD","Netherlands","PALMA","Palma ratio","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","RATIO","Ratio","0","Units",,,1.03,"P","Provisional value"
"NLD","Netherlands","PALMA","Palma ratio","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2005","2005","RATIO","Ratio","0","Units",,,1.02,,
"NLD","Netherlands","PALMA","Palma ratio","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2006","2006","RATIO","Ratio","0","Units",,,1.01,,
"NLD","Netherlands","PALMA","Palma ratio","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2007","2007","RATIO","Ratio","0","Units",,,1.1,,
"NLD","Netherlands","PALMA","Palma ratio","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2008","2008","RATIO","Ratio","0","Units",,,1.04,,
"NLD","Netherlands","PALMA","Palma ratio","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2009","2009","RATIO","Ratio","0","Units",,,1.02,,
"NLD","Netherlands","PALMA","Palma ratio","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2010","2010","RATIO","Ratio","0","Units",,,1.02,,
"NLD","Netherlands","PALMA","Palma ratio","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2012","2012","RATIO","Ratio","0","Units",,,0.99,,
"NLD","Netherlands","P90P10","P90/P10 disposable income decile ratio","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2011","2011","P90P10","Interdecile ratio P90/P10","0","Units",,,3.2,,
"NLD","Netherlands","P90P10","P90/P10 disposable income decile ratio","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2012","2012","P90P10","Interdecile ratio P90/P10","0","Units",,,3.2,,
"NLD","Netherlands","P90P10","P90/P10 disposable income decile ratio","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2013","2013","P90P10","Interdecile ratio P90/P10","0","Units",,,3.3,,
"NLD","Netherlands","P90P10","P90/P10 disposable income decile ratio","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2014","2014","P90P10","Interdecile ratio P90/P10","0","Units",,,3.3,,
"NLD","Netherlands","P90P10","P90/P10 disposable income decile ratio","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2015","2015","P90P10","Interdecile ratio P90/P10","0","Units",,,3.3,,
"NLD","Netherlands","P90P10","P90/P10 disposable income decile ratio","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","P90P10","Interdecile ratio P90/P10","0","Units",,,3.4,"P","Provisional value"
"NLD","Netherlands","P90P10","P90/P10 disposable income decile ratio","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2005","2005","P90P10","Interdecile ratio P90/P10","0","Units",,,3.4,,
"NLD","Netherlands","P90P10","P90/P10 disposable income decile ratio","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2006","2006","P90P10","Interdecile ratio P90/P10","0","Units",,,3.2,,
"NLD","Netherlands","P90P10","P90/P10 disposable income decile ratio","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2007","2007","P90P10","Interdecile ratio P90/P10","0","Units",,,3.3,,
"NLD","Netherlands","P90P10","P90/P10 disposable income decile ratio","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2008","2008","P90P10","Interdecile ratio P90/P10","0","Units",,,3.3,,
"NLD","Netherlands","P90P10","P90/P10 disposable income decile ratio","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2009","2009","P90P10","Interdecile ratio P90/P10","0","Units",,,3.3,,
"NLD","Netherlands","P90P10","P90/P10 disposable income decile ratio","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2010","2010","P90P10","Interdecile ratio P90/P10","0","Units",,,3.3,,
"NLD","Netherlands","P90P10","P90/P10 disposable income decile ratio","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2012","2012","P90P10","Interdecile ratio P90/P10","0","Units",,,3.3,,
"NLD","Netherlands","P90P50","P90/P50  disposable income decile ratio","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2011","2011","P90P50","Interdecile ratio P90/P50","0","Units",,,1.8,,
"NLD","Netherlands","P90P50","P90/P50  disposable income decile ratio","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2012","2012","P90P50","Interdecile ratio P90/P50","0","Units",,,1.8,,
"NLD","Netherlands","P90P50","P90/P50  disposable income decile ratio","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2013","2013","P90P50","Interdecile ratio P90/P50","0","Units",,,1.8,,
"NLD","Netherlands","P90P50","P90/P50  disposable income decile ratio","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2014","2014","P90P50","Interdecile ratio P90/P50","0","Units",,,1.8,,
"NLD","Netherlands","P90P50","P90/P50  disposable income decile ratio","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2015","2015","P90P50","Interdecile ratio P90/P50","0","Units",,,1.8,,
"NLD","Netherlands","P90P50","P90/P50  disposable income decile ratio","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","P90P50","Interdecile ratio P90/P50","0","Units",,,1.8,"P","Provisional value"
"NLD","Netherlands","P90P50","P90/P50  disposable income decile ratio","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2005","2005","P90P50","Interdecile ratio P90/P50","0","Units",,,1.8,,
"NLD","Netherlands","P90P50","P90/P50  disposable income decile ratio","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2006","2006","P90P50","Interdecile ratio P90/P50","0","Units",,,1.8,,
"NLD","Netherlands","P90P50","P90/P50  disposable income decile ratio","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2007","2007","P90P50","Interdecile ratio P90/P50","0","Units",,,1.8,,
"NLD","Netherlands","P90P50","P90/P50  disposable income decile ratio","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2008","2008","P90P50","Interdecile ratio P90/P50","0","Units",,,1.8,,
"NLD","Netherlands","P90P50","P90/P50  disposable income decile ratio","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2009","2009","P90P50","Interdecile ratio P90/P50","0","Units",,,1.8,,
"NLD","Netherlands","P90P50","P90/P50  disposable income decile ratio","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2010","2010","P90P50","Interdecile ratio P90/P50","0","Units",,,1.8,,
"NLD","Netherlands","P90P50","P90/P50  disposable income decile ratio","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2012","2012","P90P50","Interdecile ratio P90/P50","0","Units",,,1.8,,
"NLD","Netherlands","P50P10","P50/P10  disposable income decile ratio","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2011","2011","P50P10","Interdecile ratio P50/P10","0","Units",,,1.8,,
"NLD","Netherlands","P50P10","P50/P10  disposable income decile ratio","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2012","2012","P50P10","Interdecile ratio P50/P10","0","Units",,,1.8,,
"NLD","Netherlands","P50P10","P50/P10  disposable income decile ratio","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2013","2013","P50P10","Interdecile ratio P50/P10","0","Units",,,1.9,,
"NLD","Netherlands","P50P10","P50/P10  disposable income decile ratio","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2014","2014","P50P10","Interdecile ratio P50/P10","0","Units",,,1.9,,
"NLD","Netherlands","P50P10","P50/P10  disposable income decile ratio","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2015","2015","P50P10","Interdecile ratio P50/P10","0","Units",,,1.9,,
"NLD","Netherlands","P50P10","P50/P10  disposable income decile ratio","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2016","2016","P50P10","Interdecile ratio P50/P10","0","Units",,,1.9,"P","Provisional value"
"NLD","Netherlands","P50P10","P50/P10  disposable income decile ratio","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2005","2005","P50P10","Interdecile ratio P50/P10","0","Units",,,1.9,,
"NLD","Netherlands","P50P10","P50/P10  disposable income decile ratio","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2006","2006","P50P10","Interdecile ratio P50/P10","0","Units",,,1.8,,
"NLD","Netherlands","P50P10","P50/P10  disposable income decile ratio","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2007","2007","P50P10","Interdecile ratio P50/P10","0","Units",,,1.8,,
"NLD","Netherlands","P50P10","P50/P10  disposable income decile ratio","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2008","2008","P50P10","Interdecile ratio P50/P10","0","Units",,,1.8,,
"NLD","Netherlands","P50P10","P50/P10  disposable income decile ratio","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2009","2009","P50P10","Interdecile ratio P50/P10","0","Units",,,1.8,,
"NLD","Netherlands","P50P10","P50/P10  disposable income decile ratio","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2010","2010","P50P10","Interdecile ratio P50/P10","0","Units",,,1.8,,
"NLD","Netherlands","P50P10","P50/P10  disposable income decile ratio","TOT","Total population","CURRENT","Current definition","METH2011","Income definition until 2011","2012","2012","P50P10","Interdecile ratio P50/P10","0","Units",,,1.8,,
"NLD","Netherlands","S80S20","S80/S20 disposable income quintile share","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2011","2011","RATIO","Ratio","0","Units",,,4.2,,
"NLD","Netherlands","S80S20","S80/S20 disposable income quintile share","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2012","2012","RATIO","Ratio","0","Units",,,4.2,,
"NLD","Netherlands","S80S20","S80/S20 disposable income quintile share","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2013","2013","RATIO","Ratio","0","Units",,,4.3,,
"NLD","Netherlands","S80S20","S80/S20 disposable income quintile share","TOT","Total population","CURRENT","Current definition","METH2012","New income definition since 2012","2014","2014","RATIO","Ratio","0","Units",,,4.5,,
